flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp,dep_date_time,arr_date_time,duracion_vuelo
CNF374, ATR-42/72,2018-04-13,18:20,TENERIFE NORTE,TFN,1,Salida prevista a las 18:20,17,22,Nubosidad variable,,4,2018-04-13,19:10,FUERTEVENTURA,FUE,1,Llegada prevista a las 19:10,16,22,Nubosidad variable,A,14,2018-04-13 17:26:34,2018-04-13 18:20:00,2018-04-13 19:10:00,50.0
CNF549, ATR-72,2018-04-13,16:15,TENERIFE NORTE,TFN,1,Salida prevista a las 16:10,17,22,Nubosidad variable,,4,2018-04-13,17:05,LANZAROTE,ACE,4,Llegada prevista a las 17:05,17,22,Nubosidad variable,4,,2018-04-13 17:26:33,2018-04-13 16:15:00,2018-04-13 17:05:00,50.0
IBB315, ATR-72,2018-04-13,17:20,GRAN CANARIA,LPA,-,Salida prevista a las 17:20,16,21,Nubosidad variable,,,2018-04-13,18:00,LA PALMA,SPC,N,Llegada prevista a las 18:00,16,21,Nubosidad variable,LLNT,4,2018-04-13 17:26:33,2018-04-13 17:20:00,2018-04-13 18:00:00,40.0
IBB172, ATR-42/72,2018-04-13,15:30,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 15:33,17,22,Nubosidad variable,,,2018-04-13,16:00,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 16:15,16,21,Nubosidad variable,01,11,2018-04-13 17:26:32,2018-04-13 15:30:00,2018-04-13 16:00:00,30.0
AEA9048, AIRBUS A330-200,2018-04-13,14:55,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha despegado a las 15:21,6,14,Chubascos dispersos,,,2018-04-13,16:50,TENERIFE NORTE,TFN,1,Llegada prevista a las 16:55,17,22,Nubosidad variable,1,5,2018-04-13 17:26:31,2018-04-13 14:55:00,2018-04-13 16:50:00,115.0
IBB418, ATR-42/72,2018-04-13,17:30,TENERIFE NORTE,TFN,1,Salida prevista a las 17:30,17,22,Nubosidad variable,,4,2018-04-13,18:20,FUERTEVENTURA,FUE,1,Llegada prevista a las 18:20,16,22,Nubosidad variable,A,14,2018-04-13 17:26:31,2018-04-13 17:30:00,2018-04-13 18:20:00,50.0
VLG3518, 32B,2018-04-13,20:20,BARCELONA-EL PRAT,BCN,T1,Salida prevista a las 20:20,12,17,Lluvia,,,2018-04-13,21:10,IBIZA,IBZ,1,Llegada prevista a las 21:10,13,17,Nuboso a muy nuboso,02,6,2018-04-13 17:26:31,2018-04-13 20:20:00,2018-04-13 21:10:00,50.0
AEA9479, ATR-72,2018-04-13,17:20,TENERIFE NORTE,TFN,1,Salida prevista a las 17:20,17,22,Nubosidad variable,,,2018-04-13,17:55,LA PALMA,SPC,N,Llegada prevista a las 17:55,16,21,Nubosidad variable,LLNT,2,2018-04-13 17:26:31,2018-04-13 17:20:00,2018-04-13 17:55:00,35.0
IBB532, ATR-72,2018-04-13,16:00,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 15:58,16,21,Nubosidad variable,,,2018-04-13,16:45,LANZAROTE,ACE,4,Llegada prevista a las 16:45,17,22,Nubosidad variable,4,,2018-04-13 17:26:31,2018-04-13 16:00:00,2018-04-13 16:45:00,45.0
IBS3940, AIRBUS A320,2018-04-13,14:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 15:01,6,14,Chubascos dispersos,,,2018-04-13,16:50,TENERIFE NORTE,TFN,1,Llegada prevista a las 16:25,17,22,Nubosidad variable,1,4,2018-04-13 17:26:30,2018-04-13 14:45:00,2018-04-13 16:50:00,125.0
VLG1340, AIRBUS A320,2018-04-14,10:25,ALICANTE-ELCHE,ALC,N,Salida prevista a las 10:25,11,18,Nubosidad variable,,,2018-04-14,11:25,MENORCA,MAH,1,Llegada prevista a las 11:25,12,17,Lluvia débil,1,6,2018-04-13 17:26:30,2018-04-14 10:25:00,2018-04-14 11:25:00,60.0
