flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp,dep_date_time,arr_date_time,duracion_vuelo
IBS2218, ATR-42/72,,-,GRAN CANARIA,LPA,-,-,,,-,,,2018-04-13,15:15,EL HIERRO,VDE,1,El vuelo ha aterrizado a las 15:14,14,17,Chubascos dispersos,01,1,2018-04-13 17:25:58,,2018-04-13 15:15:00,
HTY258, AWH,,-,MALAGA-COSTA DEL SOL,AGP,-,-,,,-,,,2018-04-13,18:25,CEUTA,JCU,-,Llegada prevista a las 18:25,11,17,Lluvia, - ,,2018-04-13 17:25:45,,2018-04-13 18:25:00,
IBE8758, BOMBARDIER CRJ-1000,,-,BARCELONA-EL PRAT,BCN,-,-,,,-,,,2018-04-13,19:35,LEON,LEN,T,Llegada prevista a las 19:35,3,13,Lluvia,S1,2,2018-04-13 17:25:39,,2018-04-13 19:35:00,
ANE8115, BOMBARDIER CRJ-1000,,-,IBIZA,IBZ,-,-,,,-,,,2018-04-13,15:15,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 15:08,12,17,Lluvia,NT,11,2018-04-13 16:54:52,,2018-04-13 15:15:00,
ANE8634, BOMBARDIER CRJ-1000,,-,VALENCIA,VLC,-,-,,,-,,,2018-04-13,15:15,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 15:06,12,17,Lluvia,NT,5,2018-04-13 16:54:51,,2018-04-13 15:15:00,
IBE8393, BOMBARDIER CRJ-1000,,-,ALICANTE-ELCHE,ALC,-,-,,,-,,,2018-04-13,14:35,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 15:12,6,14,Chubascos dispersos,10,19,2018-04-13 16:54:36,,2018-04-13 14:35:00,
IBE8494, ATR-72,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-14,08:00,MENORCA,MAH,1,Llegada prevista a las 08:00,12,17,Lluvia débil,1,6,2018-04-13 16:23:56,,2018-04-14 08:00:00,
IBE8498, ATR-42/72,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-13,14:45,MENORCA,MAH,1,El vuelo ha aterrizado a las 14:39,12,17,Lluvia débil,1,6,2018-04-13 16:23:43,,2018-04-13 14:45:00,
IBS2218, ATR-72,,-,GRAN CANARIA,LPA,-,-,,,-,,,2018-04-13,15:15,EL HIERRO,VDE,-,Llegada prevista a las 15:10,14,17,Chubascos dispersos, - ,,2018-04-13 16:23:21,,2018-04-13 15:15:00,
ANE8907, CANADAIR CRJ-200,,-,IBIZA,IBZ,-,-,,,-,,,2018-04-13,14:05,ALICANTE-ELCHE,ALC,N,El vuelo ha aterrizado a las 13:51,11,18,Nubosidad variable,NT1,,2018-04-13 15:52:23,,2018-04-13 14:05:00,
ANE8392, BOMBARDIER CRJ-1000,,-,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,-,,,-,,,2018-04-13,12:50,ALICANTE-ELCHE,ALC,N,El vuelo ha aterrizado a las 13:26,11,18,Nubosidad variable,NT1,,2018-04-13 15:21:13,,2018-04-13 12:50:00,
IBE2228, ATR-42/72,,-,TENERIFE NORTE,TFN,-,-,,,-,,,2018-04-13,15:30,LA PALMA,SPC,N,Llegada prevista a las 15:30,16,21,Nubosidad variable,LLNT,4,2018-04-13 15:21:03,,2018-04-13 15:30:00,
IBE2248, ATR-72,,-,TENERIFE NORTE,TFN,-,-,,,-,,,2018-04-13,12:20,LANZAROTE,ACE,4,El vuelo ha aterrizado a las 12:17,17,22,Nubosidad variable,4,,2018-04-13 15:20:44,,2018-04-13 12:20:00,
IBE8108, BOMBARDIER CRJ-1000,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-13,13:35,IBIZA,IBZ,1,El vuelo ha aterrizado a las 13:22,13,17,Nuboso a muy nuboso,02,1,2018-04-13 15:20:30,,2018-04-13 13:35:00,
IBE2234, ATR-72,,-,TENERIFE NORTE,TFN,-,-,,,-,,,2018-04-13,12:00,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 12:09,16,21,Nubosidad variable,01,11,2018-04-13 14:11:20,,2018-04-13 12:00:00,
IBE8904, CANADAIR CRJ-200,,-,ALICANTE-ELCHE,ALC,-,-,,,-,,,2018-04-13,12:45,IBIZA,IBZ,1,El vuelo ha aterrizado a las 12:40,13,17,Nuboso a muy nuboso,02,1,2018-04-13 14:05:48,,2018-04-13 12:45:00,
IBB650, ATR-42/72,,-,LA GOMERA,GMZ,-,-,,,-,,,2018-04-13,11:00,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 11:00,17,22,Nubosidad variable,1,1,2018-04-13 13:31:17,,2018-04-13 11:00:00,
IBS2237, ATR-72,,-,TENERIFE NORTE,TFN,-,-,,,-,,,2018-04-13,17:10,EL HIERRO,VDE,-,Llegada prevista a las 17:10,14,17,Chubascos dispersos, - ,,2018-04-13 13:29:21,,2018-04-13 17:10:00,
ANE8213, CANADAIR CRJ-200,,-,ALMERIA,LEI,-,-,,,-,,,2018-04-13,11:20,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 11:01,12,17,Lluvia,NT,5,2018-04-13 12:56:03,,2018-04-13 11:20:00,
ANE8387, CANADAIR CRJ-200,,-,BILBAO,BIO,-,-,,,-,,,2018-04-13,11:30,ALICANTE-ELCHE,ALC,N,El vuelo ha aterrizado a las 11:36,11,18,Nubosidad variable,NT1,,2018-04-13 12:55:54,,2018-04-13 11:30:00,
IBE8106, ATR-42/72,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-13,11:20,IBIZA,IBZ,1,El vuelo ha aterrizado a las 11:07,13,17,Nuboso a muy nuboso,02,1,2018-04-13 12:54:59,,2018-04-13 11:20:00,
IBE2244, ATR-72,,-,TENERIFE NORTE,TFN,-,-,,,-,,,2018-04-13,17:30,LA GOMERA,GMZ,-,Llegada prevista a las 17:30,16,23,Chubascos dispersos, - ,,2018-04-13 12:54:27,,2018-04-13 17:30:00,
IBE8482, CANADAIR CRJ-900,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-13,11:20,MENORCA,MAH,1,El vuelo ha aterrizado a las 11:16,12,17,Lluvia débil,1,6,2018-04-13 12:53:40,,2018-04-13 11:20:00,
ANE8105, BOMBARDIER CRJ-1000,,-,IBIZA,IBZ,-,-,,,-,,,2018-04-13,10:15,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 10:18,12,17,Lluvia,NT,2,2018-04-13 12:21:38,,2018-04-13 10:15:00,
IBE8108, BOMBARDIER CRJ-1000,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-13,13:35,IBIZA,IBZ,1,Llegada prevista a las 13:35,13,17,Lluvia débil,02,1,2018-04-13 11:47:45,,2018-04-13 13:35:00,
ANE8483, CANADAIR CRJ-900,,-,MENORCA,MAH,-,-,,,-,,,2018-04-13,10:05,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 10:06,12,17,Lluvia,NT,11,2018-04-13 11:47:24,,2018-04-13 10:05:00,
IBE8904, CANADAIR CRJ-200,,-,ALICANTE-ELCHE,ALC,-,-,,,-,,,2018-04-13,12:45,IBIZA,IBZ,1,Llegada prevista a las 12:45,13,17,Lluvia débil,02,1,2018-04-13 11:45:30,,2018-04-13 12:45:00,
IBE8106, ATR-42/72,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-13,11:20,IBIZA,IBZ,1,Llegada prevista a las 11:20,13,17,Lluvia débil,02,1,2018-04-13 11:45:02,,2018-04-13 11:20:00,
IBE8112, CANADAIR CRJ-200,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-13,10:15,IBIZA,IBZ,1,El vuelo ha aterrizado a las 10:15,13,17,Lluvia débil,02,1,2018-04-13 11:43:00,,2018-04-13 10:15:00,
IBE2228, ATR-42/72,,-,TENERIFE NORTE,TFN,-,-,,,-,,,2018-04-13,15:30,LA PALMA,SPC,N,Llegada prevista a las 15:30,16,21,Cubierto de nubes altas y medias,LLNT,4,2018-04-13 11:41:17,,2018-04-13 15:30:00,
IBE2244, ATR-72,,-,TENERIFE NORTE,TFN,-,-,,,-,,,2018-04-13,17:30,LA GOMERA,GMZ,-,Llegada prevista a las 17:30,16,23,Nubosidad variable, - ,,2018-04-13 11:41:15,,2018-04-13 17:30:00,
IBE8312, BOMBARDIER CRJ-1000,,-,BARCELONA-EL PRAT,BCN,-,-,,,-,,,2018-04-13,09:40,BADAJOZ,BJZ,1,El vuelo ha aterrizado a las 09:30,6,16,Chubascos dispersos,01,1,2018-04-13 10:56:02,,2018-04-13 09:40:00,
ANE8390, BOMBARDIER CRJ-1000,,-,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,-,,,-,,,2018-04-13,09:00,ALICANTE-ELCHE,ALC,N,El vuelo ha aterrizado a las 09:04,11,18,Nubosidad variable,NT1,,2018-04-13 10:55:45,,2018-04-13 09:00:00,
