flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp,dep_date_time,arr_date_time,duracion_vuelo
AEE703, AIRBUS A321,2018-04-14,01:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha despegado a las 01:37,5,17,Nubes altas,,,,-,ATENAS,ATH,-,-,,,-,-,,2018-04-14 03:21:37,2018-04-14 01:45:00,,
IBE2601, AIRBUS A330-200,2018-04-14,01:30,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 01:29,13,17,Abertura de claros,,,,-,BUENOS AIRES/MINISTRO PISTARINI,EZE,-,-,,,-,-,,2018-04-14 03:21:36,2018-04-14 01:30:00,,
BMS2904, BOEING 737-400,2018-04-14,01:10,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,1,El vuelo ha despegado a las 02:16,5,17,Nubes altas,,,,-,BACAU,BCM,-,-,,,-,-,,2018-04-14 03:21:35,2018-04-14 01:10:00,,
MLD598, AIRBUS A319,2018-04-14,01:00,BARCELONA-EL PRAT,BCN,T2 B,El vuelo ha despegado a las 01:33,13,17,Abertura de claros,,,,-,CHISINAU,KIV,-,-,,,-,-,,2018-04-14 03:21:34,2018-04-14 01:00:00,,
FIN1726, AIRBUS A319,2018-04-14,02:10,ALICANTE-ELCHE,ALC,N,El vuelo ha despegado a las 01:56,10,22,Nubes altas,,,,-,HELSINKI,HEL,-,-,,,-,-,,2018-04-14 03:21:33,2018-04-14 02:10:00,,
AFL2513, 32B,2018-04-14,00:05,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 00:48,13,17,Abertura de claros,,,,-,MOSCU /SHEREMETYEVO,SVO,-,-,,,-,-,,2018-04-14 02:20:28,2018-04-14 00:05:00,,
BAW2711, AIRBUS A320,2018-04-13,23:15,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 00:42,13,17,Abertura de claros,,,,-,LONDRES /GATWICK,LGW,-,-,,,-,-,,2018-04-14 02:20:27,2018-04-13 23:15:00,,
VLG7750, 32A,2018-04-13,23:10,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 00:45,13,17,Abertura de claros,,,,-,KIEV,IEV,-,-,,,-,-,,2018-04-14 02:20:26,2018-04-13 23:10:00,,
AEA175, BOEING 787-8,2018-04-13,23:55,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,1,El vuelo ha despegado a las 00:31,5,17,Nubes altas,,,,-,LIMA,LIM,-,-,,,-,-,,2018-04-14 02:20:23,2018-04-13 23:55:00,,
JAF5626, BOEING 737-800 WINGLETS,2018-04-13,19:20,FUERTEVENTURA,FUE,1,El vuelo ha despegado a las 23:38,16,22,Nubes altas,,9,,-,NANTES-ATLANTIQUE,NTE,-,-,,,-,-,,2018-04-14 02:20:23,2018-04-13 19:20:00,,
ROT432, BOEING 737-700 WINGLETS,2018-04-14,00:55,VALENCIA,VLC,1,El vuelo ha despegado a las 00:34,10,18,Abertura de claros,,,,-,BUCAREST,OTP,-,-,,,-,-,,2018-04-14 02:20:23,2018-04-14 00:55:00,,
LLX5052, AIRBUS A321,2018-04-13,13:35,LANZAROTE,ACE,1,Salida prevista a las 12:45,15,22,Nubes altas,,11,,-,AMSTERDAM /SCHIPHOL,AMS,-,-,,,-,-,,2018-04-14 02:20:23,2018-04-13 13:35:00,,
EIN565, AIRBUS A320,2018-04-13,23:00,BARCELONA-EL PRAT,BCN,T2 B,El vuelo ha despegado a las 00:36,13,17,Abertura de claros,,,,-,DUBLIN,DUB,-,-,,,-,-,,2018-04-14 02:20:23,2018-04-13 23:00:00,,
FIN1676, 32B,2018-04-14,01:05,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha despegado a las 01:01,11,21,Despejado,,,,-,HELSINKI,HEL,-,-,,,-,-,,2018-04-14 02:20:22,2018-04-14 01:05:00,,
TAP1047, AIRBUS A320,2018-04-13,22:35,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 00:28,13,17,Abertura de claros,,,,-,LISBOA,LIS,-,-,,,-,-,,2018-04-14 02:20:22,2018-04-13 22:35:00,,
